OBJECTID,gsid,formal_name,district,station_id,year,month,days,rainfallsum
3637295,346,Thamachit,Rasuwa,1054,1986,1,1,0
3637296,346,Thamachit,Rasuwa,1054,1986,1,2,0
3637297,346,Thamachit,Rasuwa,1054,1986,1,3,0
3637298,346,Thamachit,Rasuwa,1054,1986,1,4,0.2
3637299,346,Thamachit,Rasuwa,1054,1986,1,5,0
3637300,346,Thamachit,Rasuwa,1054,1986,1,6,0
3637301,346,Thamachit,Rasuwa,1054,1986,1,7,0
3637302,346,Thamachit,Rasuwa,1054,1986,1,8,0
3637303,346,Thamachit,Rasuwa,1054,1986,1,9,0
3637304,346,Thamachit,Rasuwa,1054,1986,1,10,0
3637305,346,Thamachit,Rasuwa,1054,1986,1,11,0
3637306,346,Thamachit,Rasuwa,1054,1986,1,12,3
3637307,346,Thamachit,Rasuwa,1054,1986,1,13,0
3637308,346,Thamachit,Rasuwa,1054,1986,1,14,0
3637309,346,Thamachit,Rasuwa,1054,1986,1,15,0
3637310,346,Thamachit,Rasuwa,1054,1986,1,16,0
3637311,346,Thamachit,Rasuwa,1054,1986,1,17,0
3637312,346,Thamachit,Rasuwa,1054,1986,1,18,0
3637313,346,Thamachit,Rasuwa,1054,1986,1,19,0
3637314,346,Thamachit,Rasuwa,1054,1986,1,20,0
3637315,346,Thamachit,Rasuwa,1054,1986,1,21,0
3637316,346,Thamachit,Rasuwa,1054,1986,1,22,0
3637317,346,Thamachit,Rasuwa,1054,1986,1,23,0
3637318,346,Thamachit,Rasuwa,1054,1986,1,24,0
3637319,346,Thamachit,Rasuwa,1054,1986,1,25,0
3637320,346,Thamachit,Rasuwa,1054,1986,1,26,0
3637321,346,Thamachit,Rasuwa,1054,1986,1,27,0
3637322,346,Thamachit,Rasuwa,1054,1986,1,28,0
3637323,346,Thamachit,Rasuwa,1054,1986,1,29,0
3637324,346,Thamachit,Rasuwa,1054,1986,1,30,0
3637325,346,Thamachit,Rasuwa,1054,1986,1,31,0
3637326,346,Thamachit,Rasuwa,1054,1986,2,1,0
3637327,346,Thamachit,Rasuwa,1054,1986,2,2,0.3
3637328,346,Thamachit,Rasuwa,1054,1986,2,3,0
3637329,346,Thamachit,Rasuwa,1054,1986,2,4,0
3637330,346,Thamachit,Rasuwa,1054,1986,2,5,0
3637331,346,Thamachit,Rasuwa,1054,1986,2,6,0
3637332,346,Thamachit,Rasuwa,1054,1986,2,7,0
3637333,346,Thamachit,Rasuwa,1054,1986,2,8,0
3637334,346,Thamachit,Rasuwa,1054,1986,2,9,0
3637335,346,Thamachit,Rasuwa,1054,1986,2,10,0
3637336,346,Thamachit,Rasuwa,1054,1986,2,11,0
3637337,346,Thamachit,Rasuwa,1054,1986,2,12,0
3637338,346,Thamachit,Rasuwa,1054,1986,2,13,0
3637339,346,Thamachit,Rasuwa,1054,1986,2,14,0
3637340,346,Thamachit,Rasuwa,1054,1986,2,15,0
3637341,346,Thamachit,Rasuwa,1054,1986,2,16,0
3637342,346,Thamachit,Rasuwa,1054,1986,2,17,0
3637343,346,Thamachit,Rasuwa,1054,1986,2,18,0
3637344,346,Thamachit,Rasuwa,1054,1986,2,19,0
3637345,346,Thamachit,Rasuwa,1054,1986,2,20,0
3637346,346,Thamachit,Rasuwa,1054,1986,2,21,0
3637347,346,Thamachit,Rasuwa,1054,1986,2,22,0
3637348,346,Thamachit,Rasuwa,1054,1986,2,23,0
3637349,346,Thamachit,Rasuwa,1054,1986,2,24,0
3637350,346,Thamachit,Rasuwa,1054,1986,2,25,0
3637351,346,Thamachit,Rasuwa,1054,1986,2,26,0
3637352,346,Thamachit,Rasuwa,1054,1986,2,27,0
3637353,346,Thamachit,Rasuwa,1054,1986,2,28,0
3637354,346,Thamachit,Rasuwa,1054,1986,3,1,0
3637355,346,Thamachit,Rasuwa,1054,1986,3,2,0
3637356,346,Thamachit,Rasuwa,1054,1986,3,3,0
3637357,346,Thamachit,Rasuwa,1054,1986,3,4,0
3637358,346,Thamachit,Rasuwa,1054,1986,3,5,0
