OBJECTID,gsid,formal_name,district,station_id,year,month,days,mintemp
349127,347,Dhunche,Rasuwa,1055,1989,1,1,0
349128,347,Dhunche,Rasuwa,1055,1989,1,2,0
349129,347,Dhunche,Rasuwa,1055,1989,1,3,0
349130,347,Dhunche,Rasuwa,1055,1989,1,4,0
349131,347,Dhunche,Rasuwa,1055,1989,1,5,0
349132,347,Dhunche,Rasuwa,1055,1989,1,6,0
349133,347,Dhunche,Rasuwa,1055,1989,1,7,0
349134,347,Dhunche,Rasuwa,1055,1989,1,8,0
349135,347,Dhunche,Rasuwa,1055,1989,1,9,0
349136,347,Dhunche,Rasuwa,1055,1989,1,10,0
349137,347,Dhunche,Rasuwa,1055,1989,1,11,0
349138,347,Dhunche,Rasuwa,1055,1989,1,12,0
349139,347,Dhunche,Rasuwa,1055,1989,1,13,0
349140,347,Dhunche,Rasuwa,1055,1989,1,14,0
349141,347,Dhunche,Rasuwa,1055,1989,1,15,0
349142,347,Dhunche,Rasuwa,1055,1989,1,16,0
349143,347,Dhunche,Rasuwa,1055,1989,1,17,0
349144,347,Dhunche,Rasuwa,1055,1989,1,18,0
349145,347,Dhunche,Rasuwa,1055,1989,1,19,0
349146,347,Dhunche,Rasuwa,1055,1989,1,20,0
349147,347,Dhunche,Rasuwa,1055,1989,1,21,0
349148,347,Dhunche,Rasuwa,1055,1989,1,22,0
349149,347,Dhunche,Rasuwa,1055,1989,1,23,0
349150,347,Dhunche,Rasuwa,1055,1989,1,24,0
349151,347,Dhunche,Rasuwa,1055,1989,1,25,0
349152,347,Dhunche,Rasuwa,1055,1989,1,26,0
349153,347,Dhunche,Rasuwa,1055,1989,1,27,0
349154,347,Dhunche,Rasuwa,1055,1989,1,28,0
349155,347,Dhunche,Rasuwa,1055,1989,1,29,0
349156,347,Dhunche,Rasuwa,1055,1989,1,30,0
349157,347,Dhunche,Rasuwa,1055,1989,1,31,0
349158,347,Dhunche,Rasuwa,1055,1989,2,1,0
349159,347,Dhunche,Rasuwa,1055,1989,2,2,0
349160,347,Dhunche,Rasuwa,1055,1989,2,3,0
349161,347,Dhunche,Rasuwa,1055,1989,2,4,0
349162,347,Dhunche,Rasuwa,1055,1989,2,5,0
349163,347,Dhunche,Rasuwa,1055,1989,2,6,0
349164,347,Dhunche,Rasuwa,1055,1989,2,7,0
349165,347,Dhunche,Rasuwa,1055,1989,2,8,0
349166,347,Dhunche,Rasuwa,1055,1989,2,9,0
349167,347,Dhunche,Rasuwa,1055,1989,2,10,0
349168,347,Dhunche,Rasuwa,1055,1989,2,11,0
349169,347,Dhunche,Rasuwa,1055,1989,2,12,0
349170,347,Dhunche,Rasuwa,1055,1989,2,13,0
349171,347,Dhunche,Rasuwa,1055,1989,2,14,0
349172,347,Dhunche,Rasuwa,1055,1989,2,15,0
349173,347,Dhunche,Rasuwa,1055,1989,2,16,0
349174,347,Dhunche,Rasuwa,1055,1989,2,17,0
